,before,during,after
Conditional_VaR,0.42402156906147187,1.0379451443028487,0.3633009584583687
Cumulative_Return,-0.11247191345581374,-0.2806495479796842,0.28919044492630486
Daily_Mean_Arith,-0.0994474954683002,-0.2275690729000712,0.1500790371889366
Daily_Mean_Geom,-0.11872732012443987,-0.3299197957247202,0.13917358296167137
Kurtosis,0.6934442826186618,3.7355384556847655,4.049526172309268
Max_Drawdown,0.07650838769299106,0.24007998116338058,0.3830463417687082
Min_Daily_Return,-0.03189356902840801,-0.09844750639106425,-0.0651235665724279
Modified_Var,0.07580167406382607,0.0663950410764377,0.24404343309379545
Sharpe_Ratio,-0.557148115361405,-0.523829747168806,0.94963754140638
Skewness,0.17117698249272567,0.4250487399730362,-0.43729399916079
Volatility,0.19644236864609144,0.45352344761649,0.14750789757267221
